Word,Word Count
word,1505
play,122
reft,2
more,322
your,651
with,619
flex,21
this,647
quiz,95
back,42
from,497
verb,129
sign,67
make,73
easy,14
help,51
read,53
news,139
year,31
ways,64
want,20
find,56
also,140
have,153
than,71
plus,15
work,24
menu,85
home,118
arts,84
next,195
pets,29
come,77
john,37
used,92
them,53
some,150
what,404
just,49
mean,21
many,129
over,33
time,68
term,81
both,57
only,65
gory,5
four,23
vote,23
five,9
down,40
know,94
game,13
gone,5
left,195
name,119
half,45
last,36
wits,17
take,65
load,119
kwid,4
quid,8
poet,6
hear,14
like,93
hard,21
life,28
fame,3
york,34
july,15
rise,12
vale,4
lady,7
hero,99
lamb,8
such,93
mine,5
colm,5
acts,8
very,48
hḗrā,12
form,52
wife,10
zeus,6
same,33
hera,6
amid,12
lisa,6
emts,6
risk,16
care,7
rest,13
ruth,6
post,53
joie,7
stem,14
laws,15
most,65
into,114
fast,7
pays,7
kahy,9
film,9
wise,8
best,24
stay,19
slay,11
kids,86
list,10
join,17
show,42
when,135
they,115
city,3
true,13
each,32
does,54
evil,3
love,14
able,13
live,19
ones,7
case,3
kind,11
tips,9
pick,6
talk,5
clue,1
grow,1
real,12
tech,9
hold,13
drip,1
song,2
sung,1
face,20
hand,3
pile,1
fear,4
blue,2
joke,1
wish,8
upon,8
star,4
gilf,1
soml,2
chef,1
cold,5
then,15
stew,1
long,32
vein,1
unit,1
kent,2
fact,8
type,9
kwor,1
port,3
dock,1
quao,1
flag,1
aids,1
mike,1
dean,1
trip,1
days,8
came,18
dogs,4
went,5
gold,1
kwôr,1
iraq,1
idea,2
plan,3
beat,2
wade,2
epic,2
much,32
coan,1
hope,2
monk,1
lack,2
shən,1
tiny,2
made,14
note,7
deal,2
mers,1
flus,1
wash,1
trio,2
nuts,2
must,6
late,19
puts,1
wild,2
held,1
pose,1
town,1
send,4
rage,3
iucn,5
wake,1
paso,1
june,15
vice,1
said,5
iowa,1
core,3
sent,6
tend,1
spot,1
ruan,1
cast,1
tony,1
josh,2
hong,2
kong,1
liam,1
erin,1
mark,5
dame,2
fire,2
felt,5
pang,3
give,17
goes,7
turn,3
flip,1
side,8
pale,1
near,3
drop,2
told,9
toni,2
push,3
line,2
body,18
lend,2
typo,2
holy,8
part,20
sure,6
page,6
keys,3
busy,4
team,9
rock,7
kuhm,1
kuhl,1
yoga,1
fesh,1
whom,5
date,4
earn,1
open,5
chat,3
user,6
race,1
tags,1
once,10
flow,1
site,37
done,4
stop,1
paid,3
sale,1
harm,1
mail,1
card,1
code,3
copy,2
fair,1
wide,1
sole,7
item,1
edit,1
knew,1
jump,1
bird,3
move,2
pink,2
fine,1
cake,1
gets,6
fuel,1
gray,1
okay,1
step,8
lots,1
lead,3
hart,2
view,2
king,7
myth,3
mind,4
bram,1
wind,1
spin,1
hits,1
role,13
zone,1
bowl,3
anti,4
bans,1
egot,1
lost,1
corn,1
lent,1
past,21
yoda,1
born,3
bars,1
mars,1
fido,2
fish,6
cats,1
gato,1
fisc,1
diet,1
snek,1
nose,1
hors,3
main,9
pigs,1
pork,2
crab,4
krab,1
hare,1
kith,1
ncds,1
sick,1
lyme,2
mrsa,1
west,1
nile,1
zika,1
bear,5
skew,1
shot,1
nber,2
peak,3
runs,2
debt,1
bank,1
wars,1
swan,4
nerb,1
sank,1
rose,9
fund,1
meat,6
hund,1
jive,1
girl,8
dēor,1
wait,2
cure,1
mold,2
dish,1
utis,1
wary,2
soap,2
soil,1
otic,1
sake,1
fend,1
male,12
snap,1
demi,1
self,1
save,9
safe,2
cope,1
rona,6
ends,1
huge,8
lime,1
hour,3
ruin,1
cozy,8
gain,1
hunt,2
phdi,1
perí,7
peri,7
poem,8
mask,7
urst,7
ǣres,7
hwīl,7
eric,7
pain,7
fits,7
kate,7
neyl,7
plot,7
tale,19
krej,7
grey,7
wont,78
moue,28
wotd,10
ring,1
tank,1
lung,1
lore,3
ˌdæf,1
daft,1
mare,1
ˈkɒs,1
akin,6
cost,4
ford,2
roun,1
colt,1
joan,1
gary,1
draw,1
fade,1
farm,1
fɔrs,2
ˈkaɪ,1
plek,6
jane,6
park,6
sort,6
arms,6
gore,6
cfpb,6
pace,5
moby,5
dick,5
sahy,4
folk,7
vast,1
band,1
rack,17
